City,Province,Year,Boys_Enrolled,Girls_Enrolled,Gender_parity_score,%_Complete_Primary_Schools,Complete_Primary_Schools,%_Primary_Schools_with_single_classroom,Primary_Schools_with_single_classroom,Number_of_primary_schools_as_%_of_total_schools,Number_of_primary_schools,%_Primary_Schools_with_single_teacher,Primary_Schools_with_single_teacher,Number_of_secondary_schools_as_%_of_total_schools,Number_of_secondary_schools,Total_number_of_schools,Population,Area ,Boundary_wall,Building_condition_satisfactory,Drinking_water,Toilet,Electricity,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",School_infrastructure_score,Education_score,Learning_score,Enrolment_score,Retention_score,Educational_Budget_Spend_of_GDP,Pakistan_Economic_Growth,Bomb_Blasts_Occurred,Drone_attacks_in_Pakistan,Terrorist_Attacks_Affectees,Global_Terrorism_Index_Pakistan
Bhakkar,Punjab,2016,0.5983,0.4017,0.671402307,0.836714976,866,0.024154589,25,0.769516729,1035,0.139130435,144,0.230483271,310,1345,1051456,8153,87.246377,82.655039,99.323671,97.584541,74.009662,Cluster 2,88.163858,71.664929,67.204602,70.288522,59,2.2,0.047,16,3,1803,8.61
Chakwal,Punjab,2016,0.5443,0.4557,0.83722212,0.900133156,676,0.015978695,12,0.621688742,751,0.083888149,63,0.378311258,457,1208,1083725,6524,96.005326,93.010753,97.070573,97.603196,87.483356,Cluster 2,94.234641,84.848134,66.233333,88.903192,88.683013,2.2,0.047,16,3,1803,8.61
Chiniot,Punjab,2016,0.6343,0.3657,0.576541069,0.822097378,439,0.052434457,28,0.770562771,534,0.125468165,67,0.229437229,159,693,965124,,95.88015,83.458647,99.812734,96.816479,93.632959,Cluster 2,93.920194,66.630317,58.930128,68.022341,53,2.2,0.047,16,3,1803,8.61
Dera Ghazi Khan,Punjab,2016,0.6452,0.3548,0.549907006,0.592567103,861,0.206469374,300,0.815375982,1453,0.200963524,292,0.184624018,329,1782,2643118,11922,72.401927,71.186441,84.514797,74.260151,41.84446,Cluster 2,68.841555,61.020956,60.5125,64.09006,34,2.2,0.047,16,3,1803,8.61
Faisalabad,Punjab,2016,0.5428,0.4572,0.842299189,0.868008949,1164,0.041759881,56,0.576526225,1341,0.090231171,121,0.423473775,985,2326,5429547,5856,94.108874,84.862043,99.627144,98.508576,95.824012,Cluster 2,94.58613,78.876624,65.232587,77.552136,77,2.2,0.047,16,3,1803,8.61
Gujranwala,Punjab,2016,0.5461,0.4539,0.831166453,0.838209983,974,0.048192771,56,0.679929783,1162,0.113597246,132,0.320070217,547,1709,3400940,3622,94.320138,81.6609,98.623064,95.611015,85.886403,Cluster 2,91.220304,77.182201,53.426207,74.913087,85,2.2,0.047,16,3,1803,8.61
Gujrat,Punjab,2016,0.5737,0.4263,0.743071292,0.878172589,865,0.023350254,23,0.662407532,985,0.098477157,97,0.337592468,502,1487,2048008,3192,97.258883,85.097636,98.883249,97.055838,94.010152,Cluster 2,94.461152,82.663101,70.832116,80.18796,87,2.2,0.047,16,3,1803,8.61
Hafizabad,Punjab,2016,0.5201,0.4799,0.922707172,0.693014706,377,0.018382353,10,0.744186047,544,0.288602941,157,0.255813953,187,731,832980,2367,96.507353,87.867647,97.977941,93.198529,75.367647,Cluster 2,90.183824,73.994805,59.578922,70.274611,68.131837,2.2,0.047,16,3,1803,8.61
Jhang,Punjab,2016,0.6385,0.3615,0.566170713,0.846805235,1100,0.077752117,101,0.78489426,1299,0.075442648,98,0.21510574,356,1655,2834546,8809,83.21786,80.324074,99.384142,94.996151,79.368745,Cluster 2,87.458194,69.525416,65.2,68.747925,58,2.2,0.047,16,3,1803,8.61
Jhelum,Punjab,2016,0.5922,0.4078,0.68861871,0.853747715,467,0.02559415,14,0.653524492,547,0.120658135,66,0.346475508,290,837,936957,3587,97.074954,84.615385,97.25777,97.806216,92.687386,Cluster 2,93.888342,80.925901,57.060828,90.791486,85.071091,2.2,0.047,16,3,1803,8.61
Kasur,Punjab,2016,0.5438,0.4562,0.838911364,0.850183824,925,0.033088235,36,0.723885562,1088,0.116727941,127,0.276114438,415,1503,1466000,4796,94.577206,84.834559,98.988971,96.507353,91.911765,Cluster 2,93.363971,72.529162,56.475,68.024759,70,2.2,0.047,16,3,1803,8.61
Khanewal,Punjab,2016,0.6265,0.3735,0.596169194,0.882113821,651,0.029810298,22,0.566820276,738,0.088075881,65,0.433179724,564,1302,2068490,4349,98.373984,83.739837,98.644986,97.696477,90.785908,Cluster 2,93.848238,70.386552,68.4,68.793576,57,2.2,0.047,16,3,1803,8.61
Khushab,Punjab,2016,0.6077,0.3923,0.645548791,0.811267606,576,0.053521127,38,0.735751295,710,0.135211268,96,0.264248705,255,965,1205460,6511,85.211268,72.765957,90.56338,93.098592,68.732394,Cluster 2,82.074318,72.830717,52.382749,69.712169,80,2.2,0.047,16,3,1803,8.61
Lahore,Punjab,2016,0.6475,0.3525,0.544401544,0.896551724,598,0.052473763,35,0.537903226,667,0.050974513,34,0.462096774,573,1240,6318745,1772,98.650675,78.710645,99.10045,96.551724,98.050975,Cluster 2,94.212894,78.173293,70.4229,76.015403,81,2.2,0.047,16,3,1803,8.61
Layyah,Punjab,2016,0.5683,0.4317,0.759633996,0.706666667,901,0.063529412,81,0.765306122,1275,0.229803922,293,0.234693878,391,1666,1120951,6291,96,82.039216,99.607843,97.019608,73.882353,Cluster 2,89.709804,78.155558,62.641374,87.813863,69,2.2,0.047,16,3,1803,8.61
Lodhran,Punjab,2016,0.5736,0.4264,0.743375174,0.855421687,497,0.018932874,11,0.700844391,581,0.125645439,73,0.299155609,248,829,1171800,2778,99.311532,79.690189,97.418244,96.729776,85.714286,Cluster 2,91.772806,65.817902,64.819599,59.807964,46,2.2,0.047,16,3,1803,8.61
Mandi Bahauddin,Punjab,2016,0.5317,0.4683,0.880759827,,,,,0.663540445,566,,,0.336459555,287,853,1160552,2673,93.639576,82.142857,99.469965,96.113074,92.226148,Cluster 2,92.718324,79.036265,60.2,81.116896,78,2.2,0.047,16,3,1803,8.61
Mianwali,Punjab,2016,0.6381,0.3619,0.567152484,0.798586572,904,0.064487633,73,0.791055206,1132,0.136925795,155,0.208944794,299,1431,1056620,5840,90.636042,76.236749,95.053004,94.699647,76.943463,Cluster 2,86.713781,71.882733,58.9,70.437631,72,2.2,0.047,16,3,1803,8.61
